identifiant;prénom;nom;date de naissance;email;manager;compétences;souhaits;jours indisponibles
A1;Animateur;A1;2000-01-01;A1@example.org;non;DIV:REFERENT|LOGISTIQUE|NINJA:DEBUTANT;;
A2;Animateur;A2;2000-01-01;A2@example.org;non;DIV|LOGISTIQUE;;
A3;Animateur;A3;2000-01-01;A3@example.org;non;DIV|LOGISTIQUE;;
A4;Animateur;A4;2000-01-01;A4@example.org;non;DIV|LOGISTIQUE;;
A5;Animateur;A5;2000-01-01;A5@example.org;non;ENF|LOGISTIQUE;;
A6;Animateur;A6;2000-01-01;A6@example.org;non;ENF|LOGISTIQUE;;
A7;Animateur;A7;2000-01-01;A7@example.org;non;DIV:DEBUTANT|ENF|HOMME_JEU:DEBUTANT|LOGISTIQUE;JEUX|ANIMATION;
A8;Animateur;A8;2000-01-01;A8@example.org;non;ENF|LOGISTIQUE;;
A9;Animateur;A9;2000-01-01;A9@example.org;non;LOGISTIQUE|REF;;
A10;Animateur;A10;2000-01-01;A10@example.org;non;LOGISTIQUE|REF:REFERENT;;2026-09-05|2026-09-06
A11;Animateur;A11;2000-01-01;A11@example.org;non;ENF:DEBUTANT|LOGISTIQUE:REFERENT|REF;ACCUEIL;
A12;Animateur;A12;2000-01-01;A12@example.org;non;LOGISTIQUE|REF;;
A13;Animateur;A13;2000-01-01;A13@example.org;non;LOGISTIQUE|TROPH:REFERENT;;2026-09-12
A14;Animateur;A14;2000-01-01;A14@example.org;non;ENF:DEBUTANT|LOGISTIQUE|REF|TROPH:DEBUTANT;JEUX|ANIMATION;
A15;Animateur;A15;2000-01-01;A15@example.org;non;LOGISTIQUE|TROPH;;
A16;Animateur;A16;2000-01-01;A16@example.org;non;ACCUEIL|LOGISTIQUE;;
A17;Animateur;A17;2000-01-01;A17@example.org;non;ACCUEIL|LOGISTIQUE;;
A18;Animateur;A18;2000-01-01;A18@example.org;non;LOGISTIQUE|LSF:REFERENT;;
A19;Animateur;A19;2000-01-01;A19@example.org;non;DIV:DEBUTANT|LOGISTIQUE|LSF;;
A20;Animateur;A20;2000-01-01;A20@example.org;non;ANIMATION|JEUX:DEBUTANT|LOGISTIQUE;;2026-09-05|2026-09-06
A21;Animateur;A21;2000-01-01;A21@example.org;non;ACCUEIL|ANIMATION:DEBUTANT|LOGISTIQUE|LSF:DEBUTANT|NINJA:DEBUTANT|TROPH:DEBUTANT;JEUX|ANIMATION;
A22;Animateur;A22;2000-01-01;A22@example.org;non;ANIMATION|JEUX:DEBUTANT|LOGISTIQUE;ACCUEIL;
A23;Animateur;A23;2000-01-01;A23@example.org;non;ENF:DEBUTANT|JEUX:REFERENT|LOGISTIQUE;;
A24;Animateur;A24;2000-01-01;A24@example.org;non;ENF:DEBUTANT|JEUX:REFERENT|LOGISTIQUE;;
A25;Animateur;A25;2000-01-01;A25@example.org;non;JEUX:REFERENT|LOGISTIQUE;;
A26;Animateur;A26;2000-01-01;A26@example.org;non;JEUX:REFERENT|LOGISTIQUE;;2026-09-12
A27;Animateur;A27;2000-01-01;A27@example.org;non;ENF:DEBUTANT|JEUX:REFERENT|LOGISTIQUE;;
A28;Animateur;A28;2000-01-01;A28@example.org;non;JEUX:REFERENT|LOGISTIQUE|NINJA:DEBUTANT;JEUX|ANIMATION;
A29;Animateur;A29;2000-01-01;A29@example.org;non;ENF:DEBUTANT|JEUX:REFERENT|LOGISTIQUE;;
